Parameter,Value,Description
Parameters on a bound,nuS,"A fit on a bound is a constrained optimum, not a maximum"
Parameters near a bound,none,"Within 10% of a bound but not on it. Not a constrained optimum, so the Hessian is still valid, but the optimiser had little room and the estimate may be tracking the bound rather than the data. Widen the bound and re-fit before reporting these."
Migration above grid threshold,m2_ds = 14.27,"Rates above 10 strain dadi's diffusion grid, so the Richardson extrapolation across pts_l may not have converged. Re-evaluate the likelihood at this optimum with larger pts_l; if it moves by more than a unit or two, the estimate is partly numerical and should not be reported as a biological quantity."
,,
=== Caveats ===,,
Why CLAIC and not AIC,,"dadi maximises a composite likelihood (it treats linked sites as independent), so it overstates the information in the data and AIC's 2k penalty is too small. CLAIC replaces k with tr(J.H^-1), estimated from block bootstraps. Compare models on CLAIC only."
CLAIC precision,,"The trace carries sampling noise of roughly 10-15%, so CLAIC differences of a few units are not meaningful. Read only large gaps."
Rates vs individuals,,"Migrant individuals per generation is nu*M/2, which scales with the RECEIVING population, not Nref. A large rate asymmetry can come purely from a size difference, so read both numbers together."
Migrants under exponential growth,,"The migrant-individual figures above use the PRESENT-DAY sizes (nuBcurr, nuDcurr), so they are the number entering at the END of the epoch, not an average over it. Where the receiving population grew through the epoch, the count early in it was smaller in proportion to the size change, even though the RATE was constant."
Time parameterisation,,"sec_contact's T1 and T2 are epoch DURATIONS; Dennis's TA, TB and TD are absolute times BEFORE PRESENT. Total divergence here is TA."
Grid stability,,"High migration strains dadi's diffusion grid. Where a rate exceeds 10, re-evaluate at larger grid sizes and confirm the likelihood does not move -- see 'Migration above grid threshold' above for whether this fit trips it."
Population order,,"pop1 = SCO_WILD, pop2 = DOM. m12 is migration INTO pop1 FROM pop2. Column-to-population assignment was verified empirically by PCA. Note that Dennis's models name the SOURCE first instead (m2_ds is domestic -> silvestris), so the two conventions are opposite."
